"Story","Title","Result","Date","Stability","Duration (s)"
"Login Page","Login with valid email and invalid password","SUCCESS","2022-12-22T18:44:09.176+07:00[Asia/Bangkok]","0.0","7.48"
"Login Page","Login with invalid email and invalid password","SUCCESS","2022-12-22T18:44:17.897+07:00[Asia/Bangkok]","0.0","7.48"
"Login Page","Login with invalid email and valid password","SUCCESS","2022-12-22T18:44:26.628+07:00[Asia/Bangkok]","0.0","7.3"
"Login Page","Login with no email","SUCCESS","2022-12-22T18:44:34.744+07:00[Asia/Bangkok]","0.0","7.67"
"Login Page","Login with no password","SUCCESS","2022-12-22T18:44:43.56+07:00[Asia/Bangkok]","0.0","6.75"
"Logout Page","Logout with valid email and Password","SUCCESS","2022-12-22T18:44:51.477+07:00[Asia/Bangkok]","0.0","8.53"
"Download Aplikasi","View download aplikasi","SUCCESS","2022-12-22T18:45:01.104+07:00[Asia/Bangkok]","0.0","8.6"
"Kontak","View Kontak","SUCCESS","2022-12-22T18:45:10.838+07:00[Asia/Bangkok]","0.0","8.58"
"Produk Kami","View produk kami","SUCCESS","2022-12-22T18:45:20.528+07:00[Asia/Bangkok]","0.0","8.3"
"Tentang Kami","View Tentang Kami","SUCCESS","2022-12-22T18:45:30.036+07:00[Asia/Bangkok]","0.0","7.62"
"Delete Admin","Delete registered admin","SUCCESS","2022-12-22T18:47:10.741+07:00[Asia/Bangkok]","0.0","8.96"
"Edit Admin","Edit admin with no email","SUCCESS","2022-12-22T18:48:03.592+07:00[Asia/Bangkok]","0.0","9.64"
"List Admin","View list all admins","SUCCESS","2022-12-22T18:48:14.429+07:00[Asia/Bangkok]","0.0","9.01"
"Add User","Add user with no name","SUCCESS","2022-12-22T18:49:20.878+07:00[Asia/Bangkok]","0.0","9.97"
"List User","View list all users","SUCCESS","2022-12-22T18:51:40.512+07:00[Asia/Bangkok]","0.0","9.2"
"List Paket Data Telkomsel","View list all paket data telkomsel","SUCCESS","2022-12-22T18:56:34.093+07:00[Asia/Bangkok]","0.0","9.98"
"Riwayat transaksi user","View riwayat transaksi user","SUCCESS","2022-12-22T18:56:44.925+07:00[Asia/Bangkok]","0.0","8.22"
